F,Mag(db),Actual_L,Predicted_L,Actual_W,Predicted_W,Actual_b,Predicted_b
1.5,-20.56,46,45.66,80,72.86,6,6.95
1.81,-32.3,38,45.71,64,74.52,3,6.6
5.15,-25.26,13.1,13.3005,22,21.911,2.5,2.665
5.975,-40.1,10.7,10.834,33,32.876,1.6,1.614
2.16,-38.86,28.4,28.966,66.5,67.535,3,6.3
4.56,-21.42,15,15.004,25.5,25.3,2.5,2.756
1.31,-26.91,53,53.11,78,78.18,8,7.43
6.05,-31.21,10.5,10.595,33,32.752,1.6,1.628
1.085,-42.3,64,63.15,90,82.08,6,7.32
1.6,-28.7,43,43.98,70,67.64,6,5.3
9.78,-24.13,7,7.084,9.7,9.683,1.9,1.936
1.18,-39,59,61.05,78,81.24,8,7.46
9.23,-21.98,7.5,7.495,9.7,9.95,2.2,2.154
5.367,-23,12.5,12.481,21,20.678,3,2.965
1.024,-28,68,66.53,86,89.28,6,8.68
2.113,-20.3,28,29.072,68,67.16,3,4.46
3.94,-30.8,17.2,17.20676667,30,30.53333333,3,2.773333333
4.71,-25.2,14.4,14.12833333,26,23.58066667,2.5,2.881416667
5.18,-28.25,13,13.243,22,21.798,2.5,2.6825